area_sqft,floors,building_type,structure_type,wall_material,construction_stage,cement_bags,sand_cubic_meters,steel_kg,bricks_units,aggregates_cubic_meters,estimated_days,estimated_cost_inr
4825,2,Residential,RCC,Concrete Blocks,Framing,1737,130.28,13028,34740,217.12,30,1930000
2142,3,Industrial,Load Bearing,AAC Blocks,Excavation,651,48.84,4884,13023,81.4,5,107100
4510,4,Residential,Load Bearing,Concrete Blocks,Plastering,1542,115.68,11568,30848,192.8,20,541200
4114,2,Residential,RCC,Concrete Blocks,Framing,1481,111.08,11108,29621,185.13,30,1645600
2131,2,Commercial,Steel Frame,AAC Blocks,Excavation,818,61.37,6137,16366,102.29,5,106550
4505,3,Commercial,Load Bearing,Concrete Blocks,Foundation,1541,115.55,11555,30814,192.59,15,675750
2835,1,Residential,RCC,AAC Blocks,Flooring,907,68.04,6804,18144,113.4,10,283500
4956,4,Industrial,RCC,Concrete Blocks,Foundation,1784,133.81,13381,35683,223.02,15,743400
2945,2,Residential,Load Bearing,Brick,Plastering,1119,83.93,8393,22382,139.89,20,353400
767,2,Residential,Load Bearing,AAC Blocks,Foundation,233,17.49,1749,4663,29.15,15,115050
2991,4,Commercial,RCC,Brick,Foundation,1196,89.73,8973,23928,149.55,15,448650
967,4,Residential,Load Bearing,Concrete Blocks,Flooring,331,24.8,2480,6614,41.34,10,96700
4580,3,Industrial,RCC,AAC Blocks,Plastering,1466,109.92,10992,29312,183.2,20,549600
2135,3,Commercial,Load Bearing,AAC Blocks,Foundation,649,48.68,4868,12981,81.13,15,320250
1094,1,Commercial,Load Bearing,Brick,Framing,416,31.18,3118,8314,51.97,30,437600
3048,5,Commercial,Load Bearing,Concrete Blocks,Foundation,1042,78.18,7818,20848,130.3,15,457200
2233,1,Residential,RCC,AAC Blocks,Framing,715,53.59,5359,14291,89.32,30,893200
1875,1,Commercial,Load Bearing,AAC Blocks,Excavation,570,42.75,4275,11400,71.25,5,93750
2422,4,Commercial,Load Bearing,Brick,Framing,920,69.03,6903,18407,115.05,30,968800
3781,1,Residential,RCC,Concrete Blocks,Plastering,1361,102.09,10209,27223,170.15,20,453720
1092,5,Residential,Steel Frame,AAC Blocks,Foundation,419,31.45,3145,8387,52.42,15,163800
2555,3,Industrial,RCC,Concrete Blocks,Plastering,920,68.98,6898,18396,114.98,20,306600
2813,5,Residential,Steel Frame,Concrete Blocks,Plastering,1215,91.14,9114,24304,151.9,20,337560
1815,5,Residential,Steel Frame,AAC Blocks,Foundation,697,52.27,5227,13939,87.12,15,272250
1826,5,Commercial,Load Bearing,AAC Blocks,Flooring,555,41.63,4163,11102,69.39,10,182600
3856,1,Industrial,RCC,Concrete Blocks,Plastering,1388,104.11,10411,27763,173.52,20,462720
1217,4,Commercial,Load Bearing,Brick,Framing,462,34.68,3468,9249,57.81,30,486800
1869,2,Industrial,RCC,AAC Blocks,Framing,598,44.86,4486,11962,74.76,30,747600
2139,4,Commercial,RCC,AAC Blocks,Plastering,684,51.34,5134,13690,85.56,20,256680
2900,5,Commercial,RCC,AAC Blocks,Framing,928,69.6,6960,18560,116,30,1160000
3283,1,Commercial,RCC,Brick,Foundation,1313,98.49,9849,26264,164.15,15,492450
614,4,Residential,RCC,Brick,Excavation,246,18.42,1842,4912,30.7,5,30700
2076,5,Residential,RCC,Concrete Blocks,Framing,747,56.05,5605,14947,93.42,30,830400
1896,2,Commercial,Steel Frame,Brick,Plastering,910,68.26,6826,18202,113.76,20,227520
3900,1,Residential,Load Bearing,Concrete Blocks,Excavation,1334,100.03,10004,26676,166.72,5,195000
1163,4,Residential,Load Bearing,AAC Blocks,Framing,354,26.52,2652,7071,44.19,30,465200
4748,1,Commercial,Steel Frame,Brick,Plastering,2279,170.93,17093,45581,284.88,20,569760
3540,4,Commercial,Load Bearing,Concrete Blocks,Plastering,1211,90.8,9080,24214,151.34,20,424800
2112,3,Industrial,Steel Frame,Brick,Excavation,1014,76.03,7603,20275,126.72,5,105600
883,5,Commercial,RCC,Concrete Blocks,Plastering,318,23.84,2384,6358,39.74,20,105960
2122,1,Residential,Load Bearing,Brick,Framing,806,60.48,6048,16127,100.8,30,848800
4651,1,Industrial,Steel Frame,AAC Blocks,Excavation,1786,133.95,13395,35720,223.25,5,232550
758,4,Commercial,RCC,Concrete Blocks,Framing,273,20.47,2047,5458,34.11,30,303200
2393,1,Residential,RCC,AAC Blocks,Plastering,766,57.43,5743,15315,95.72,20,287160
4775,2,Residential,Steel Frame,AAC Blocks,Excavation,1834,137.52,13752,36672,229.2,5,238750
4018,2,Residential,Load Bearing,Brick,Flooring,1527,114.51,11451,30537,190.85,10,401800
3227,2,Industrial,RCC,Concrete Blocks,Flooring,1162,87.13,8713,23234,145.22,10,322700
4623,2,Industrial,Steel Frame,Concrete Blocks,Plastering,1997,149.79,14979,39943,249.64,20,554760
4780,1,Commercial,Steel Frame,AAC Blocks,Excavation,1836,137.66,13766,36710,229.44,5,239000
814,1,Commercial,RCC,AAC Blocks,Framing,260,19.54,1954,5210,32.56,30,325600
4729,1,Residential,RCC,Concrete Blocks,Flooring,1702,127.68,12768,34049,212.81,10,472900
834,3,Industrial,Steel Frame,Brick,Flooring,400,30.02,3002,8006,50.04,10,83400
643,1,Residential,RCC,Brick,Framing,257,19.29,1929,5144,32.15,30,257200
3932,5,Industrial,Steel Frame,Concrete Blocks,Foundation,1699,127.4,12740,33972,212.33,15,589800
4167,3,Industrial,Load Bearing,Brick,Plastering,1583,118.76,11876,31669,197.93,20,500040
711,2,Commercial,Load Bearing,Brick,Flooring,270,20.26,2026,5404,33.77,10,71100
2051,2,Commercial,Load Bearing,Brick,Plastering,779,58.45,5845,15588,97.42,20,246120
1059,1,Residential,RCC,Concrete Blocks,Foundation,381,28.59,2859,7625,47.66,15,158850
1879,3,Commercial,Steel Frame,AAC Blocks,Excavation,722,54.12,5412,14431,90.19,5,93950
1371,5,Industrial,Load Bearing,Concrete Blocks,Plastering,469,35.17,3517,9378,58.61,20,164520
526,3,Residential,Steel Frame,Brick,Flooring,252,18.94,1894,5050,31.56,10,52600
4358,4,Industrial,Load Bearing,Brick,Framing,1656,124.2,12420,33121,207,30,1743200
4018,2,Industrial,Steel Frame,AAC Blocks,Plastering,1543,115.72,11572,30858,192.86,20,482160
865,5,Residential,Steel Frame,AAC Blocks,Flooring,332,24.91,2491,6643,41.52,10,86500
1429,1,Residential,RCC,Concrete Blocks,Foundation,514,38.58,3858,10289,64.31,15,214350
1826,1,Residential,Load Bearing,Brick,Framing,694,52.04,5204,13878,86.74,30,730400
3135,5,Residential,Load Bearing,Concrete Blocks,Plastering,1072,80.41,8041,21443,134.02,20,376200
2409,4,Commercial,Load Bearing,Concrete Blocks,Plastering,824,61.79,6179,16478,102.98,20,289080
1712,3,Commercial,Steel Frame,AAC Blocks,Plastering,657,49.31,4931,13148,82.18,20,205440
3891,4,Industrial,Load Bearing,AAC Blocks,Excavation,1183,88.71,8871,23657,147.86,5,194550
1126,2,Commercial,RCC,Brick,Flooring,450,33.78,3378,9008,56.3,10,112600
3086,1,Commercial,Steel Frame,Concrete Blocks,Foundation,1333,99.99,9999,26663,166.64,15,462900
3065,2,Commercial,Load Bearing,AAC Blocks,Framing,932,69.88,6988,18635,116.47,30,1226000
4192,4,Industrial,Steel Frame,Brick,Foundation,2012,150.91,15091,40243,251.52,15,628800
3959,4,Industrial,Steel Frame,AAC Blocks,Plastering,1520,114.02,11402,30405,190.03,20,475080
3174,3,Residential,RCC,AAC Blocks,Flooring,1016,76.18,7618,20314,126.96,10,317400
2928,5,Residential,RCC,Brick,Plastering,1171,87.84,8784,23424,146.4,20,351360
3957,5,Industrial,RCC,Brick,Foundation,1583,118.71,11871,31656,197.85,15,593550
2070,2,Commercial,Load Bearing,Concrete Blocks,Foundation,708,53.1,5310,14159,88.49,15,310500
1949,3,Industrial,Load Bearing,AAC Blocks,Framing,592,44.44,4444,11850,74.06,30,779600
1257,1,Industrial,Load Bearing,Concrete Blocks,Excavation,430,32.24,3224,8598,53.74,5,62850
1267,4,Industrial,RCC,Concrete Blocks,Plastering,456,34.21,3421,9122,57.02,20,152040
3881,5,Residential,Load Bearing,Concrete Blocks,Flooring,1327,99.55,9955,26546,165.91,10,388100
3043,3,Commercial,Steel Frame,Concrete Blocks,Plastering,1315,98.59,9859,26292,164.32,20,365160
4009,2,Commercial,Load Bearing,AAC Blocks,Excavation,1219,91.41,9141,24375,152.34,5,200450
2668,2,Industrial,Steel Frame,AAC Blocks,Flooring,1025,76.84,7684,20490,128.06,10,266800
1448,4,Commercial,Load Bearing,AAC Blocks,Foundation,440,33.01,3301,8804,55.02,15,217200
2148,2,Industrial,Load Bearing,AAC Blocks,Plastering,653,48.97,4897,13060,81.62,20,257760
1524,4,Commercial,Steel Frame,Concrete Blocks,Flooring,658,49.38,4938,13167,82.3,10,152400
3832,2,Commercial,Load Bearing,AAC Blocks,Plastering,1165,87.37,8737,23299,145.62,20,459840
937,2,Residential,RCC,AAC Blocks,Flooring,300,22.49,2249,5997,37.48,10,93700
4416,2,Commercial,RCC,Concrete Blocks,Flooring,1590,119.23,11923,31795,198.72,10,441600
1369,3,Residential,Steel Frame,AAC Blocks,Flooring,526,39.43,3943,10514,65.71,10,136900
4922,3,Residential,RCC,Brick,Excavation,1969,147.66,14766,39376,246.1,5,246100
1146,3,Commercial,Steel Frame,Concrete Blocks,Framing,495,37.13,3713,9901,61.88,30,458400
2649,2,Industrial,Load Bearing,AAC Blocks,Excavation,805,60.4,6040,16106,100.66,5,132450
4587,2,Residential,Load Bearing,Concrete Blocks,Flooring,1569,117.66,11766,31375,196.09,10,458700
1025,1,Commercial,RCC,Brick,Excavation,410,30.75,3075,8200,51.25,5,51250
3350,4,Commercial,Load Bearing,AAC Blocks,Plastering,1018,76.38,7638,20368,127.3,20,402000
3589,3,Residential,Load Bearing,Brick,Plastering,1364,102.29,10229,27276,170.48,20,430680
2320,1,Commercial,RCC,AAC Blocks,Excavation,742,55.68,5568,14848,92.8,5,116000
2125,3,Commercial,Steel Frame,AAC Blocks,Flooring,816,61.2,6120,16320,102,10,212500
782,1,Industrial,Steel Frame,Brick,Foundation,375,28.15,2815,7507,46.92,15,117300
3652,3,Industrial,Steel Frame,Brick,Framing,1753,131.47,13147,35059,219.12,30,1460800
2646,3,Industrial,Load Bearing,Brick,Flooring,1005,75.41,7541,20110,125.69,10,264600
4992,1,Industrial,Steel Frame,Brick,Flooring,2396,179.71,17971,47923,299.52,10,499200
3335,1,Commercial,Load Bearing,AAC Blocks,Plastering,1014,76.04,7604,20277,126.73,20,400200
2492,3,Industrial,Steel Frame,AAC Blocks,Excavation,957,71.77,7177,19139,119.62,5,124600
2281,4,Residential,Steel Frame,AAC Blocks,Excavation,876,65.69,6569,17518,109.49,5,114050
4162,5,Industrial,Steel Frame,AAC Blocks,Flooring,1598,119.87,11987,31964,199.78,10,416200
4261,3,Industrial,RCC,AAC Blocks,Plastering,1364,102.26,10226,27270,170.44,20,511320
3115,4,Industrial,Steel Frame,Concrete Blocks,Foundation,1346,100.93,10093,26914,168.21,15,467250
4040,2,Commercial,Load Bearing,Brick,Framing,1535,115.14,11514,30704,191.9,30,1616000
4812,3,Industrial,RCC,AAC Blocks,Excavation,1540,115.49,11549,30797,192.48,5,240600
3509,3,Residential,Steel Frame,AAC Blocks,Plastering,1347,101.06,10106,26949,168.43,20,421080
3251,2,Industrial,Load Bearing,Brick,Flooring,1235,92.65,9265,24708,154.42,10,325100
2799,1,Industrial,Load Bearing,Brick,Foundation,1064,79.77,7977,21272,132.95,15,419850
3585,3,Residential,RCC,AAC Blocks,Flooring,1147,86.04,8604,22944,143.4,10,358500
2080,5,Commercial,Steel Frame,Brick,Flooring,998,74.88,7488,19968,124.8,10,208000
4985,3,Residential,Steel Frame,AAC Blocks,Plastering,1914,143.57,14357,38285,239.28,20,598200
2451,1,Commercial,Steel Frame,Brick,Flooring,1176,88.24,8824,23530,147.06,10,245100
559,5,Commercial,Load Bearing,Concrete Blocks,Foundation,191,14.34,1434,3824,23.9,15,83850
3091,4,Residential,Steel Frame,AAC Blocks,Foundation,1187,89.02,8902,23739,148.37,15,463650
964,1,Commercial,Load Bearing,AAC Blocks,Foundation,293,21.98,2198,5861,36.63,15,144600
4466,1,Residential,RCC,Concrete Blocks,Flooring,1608,120.58,12058,32155,200.97,10,446600
2797,3,Commercial,RCC,Concrete Blocks,Plastering,1007,75.52,7552,20138,125.86,20,335640
2695,3,Commercial,Load Bearing,Brick,Excavation,1024,76.81,7681,20482,128.01,5,134750
2107,5,Industrial,Steel Frame,Brick,Plastering,1011,75.85,7585,20227,126.42,20,252840
774,4,Residential,Steel Frame,AAC Blocks,Flooring,297,22.29,2229,5944,37.15,10,77400
1341,3,Commercial,Load Bearing,Concrete Blocks,Flooring,459,34.4,3440,9172,57.33,10,134100
4375,2,Industrial,Steel Frame,AAC Blocks,Foundation,1680,126,12600,33600,210,15,656250
2318,1,Commercial,Steel Frame,Brick,Plastering,1113,83.45,8345,22253,139.08,20,278160
696,4,Commercial,Load Bearing,Concrete Blocks,Plastering,238,17.85,1785,4761,29.75,20,83520
1204,2,Commercial,Load Bearing,Concrete Blocks,Plastering,412,30.88,3088,8235,51.47,20,144480
4697,3,Commercial,Load Bearing,AAC Blocks,Plastering,1428,107.09,10709,28558,178.49,20,563640
3366,3,Industrial,RCC,Concrete Blocks,Plastering,1212,90.88,9088,24235,151.47,20,403920
4991,4,Commercial,Steel Frame,Brick,Plastering,2396,179.68,17968,47914,299.46,20,598920
617,2,Commercial,Steel Frame,Brick,Foundation,296,22.21,2221,5923,37.02,15,92550
3850,5,Industrial,Load Bearing,Concrete Blocks,Excavation,1317,98.75,9875,26334,164.59,5,192500
3548,5,Commercial,Load Bearing,Concrete Blocks,Framing,1213,91.01,9101,24268,151.68,30,1419200
2608,1,Industrial,RCC,Concrete Blocks,Framing,939,70.42,7042,18778,117.36,30,1043200
1299,3,Commercial,RCC,Brick,Foundation,520,38.97,3897,10392,64.95,15,194850
1984,2,Commercial,RCC,Brick,Framing,794,59.52,5952,15872,99.2,30,793600
2249,1,Industrial,Load Bearing,Brick,Foundation,855,64.1,6410,17092,106.83,15,337350
1052,2,Commercial,RCC,Concrete Blocks,Excavation,379,28.4,2840,7574,47.34,5,52600
4223,2,Industrial,Load Bearing,Concrete Blocks,Excavation,1444,108.32,10832,28885,180.53,5,211150
2809,4,Residential,Steel Frame,Brick,Flooring,1348,101.12,10112,26966,168.54,10,280900
1679,5,Residential,Steel Frame,AAC Blocks,Framing,645,48.36,4836,12895,80.59,30,671600
1557,1,Commercial,Steel Frame,Brick,Flooring,747,56.05,5605,14947,93.42,10,155700
4383,5,Residential,Load Bearing,Concrete Blocks,Plastering,1499,112.42,11242,29980,187.37,20,525960
4497,2,Residential,RCC,Concrete Blocks,Plastering,1619,121.42,12142,32378,202.37,20,539640
1805,1,Commercial,RCC,AAC Blocks,Plastering,578,43.32,4332,11552,72.2,20,216600
4176,3,Commercial,Steel Frame,AAC Blocks,Flooring,1604,120.27,12027,32072,200.45,10,417600
1367,2,Residential,Steel Frame,AAC Blocks,Flooring,525,39.37,3937,10499,65.62,10,136700
3411,1,Industrial,Load Bearing,AAC Blocks,Flooring,1037,77.77,7777,20739,129.62,10,341100
2360,4,Commercial,Load Bearing,Brick,Flooring,897,67.26,6726,17936,112.1,10,236000
1993,4,Industrial,Steel Frame,Brick,Foundation,957,71.75,7175,19133,119.58,15,298950
2329,5,Residential,Load Bearing,AAC Blocks,Plastering,708,53.1,5310,14160,88.5,20,279480
4759,3,Industrial,Load Bearing,Concrete Blocks,Foundation,1628,122.07,12207,32552,203.45,15,713850
1448,3,Industrial,RCC,Concrete Blocks,Foundation,521,39.1,3910,10426,65.16,15,217200
3904,2,Commercial,Steel Frame,Brick,Framing,1874,140.54,14054,37478,234.24,30,1561600
4834,2,Residential,Steel Frame,Brick,Excavation,2320,174.02,17402,46406,290.04,5,241700
2185,4,Industrial,Steel Frame,Brick,Flooring,1049,78.66,7866,20976,131.1,10,218500
3906,4,Industrial,Steel Frame,Brick,Framing,1875,140.62,14062,37498,234.36,30,1562400
3004,4,Industrial,Steel Frame,Brick,Plastering,1442,108.14,10814,28838,180.24,20,360480
2196,5,Commercial,Load Bearing,AAC Blocks,Foundation,668,50.07,5007,13352,83.45,15,329400
720,3,Residential,Steel Frame,Concrete Blocks,Flooring,311,23.33,2333,6221,38.88,10,72000
1642,2,Commercial,Steel Frame,Brick,Flooring,788,59.11,5911,15763,98.52,10,164200
4965,5,Residential,RCC,Brick,Plastering,1986,148.95,14895,39720,248.25,20,595800
3077,5,Industrial,Load Bearing,Brick,Plastering,1169,87.69,8769,23385,146.16,20,369240
2261,1,Industrial,RCC,AAC Blocks,Plastering,724,54.26,5426,14470,90.44,20,271320
2842,4,Commercial,Steel Frame,AAC Blocks,Plastering,1091,81.85,8185,21827,136.42,20,341040
2001,5,Residential,Load Bearing,Brick,Framing,760,57.03,5703,15208,95.05,30,800400
1734,1,Commercial,Steel Frame,AAC Blocks,Excavation,666,49.94,4994,13317,83.23,5,86700
4148,1,Industrial,Steel Frame,Concrete Blocks,Foundation,1792,134.4,13440,35839,223.99,15,622200
2070,2,Commercial,RCC,AAC Blocks,Flooring,662,49.68,4968,13248,82.8,10,207000
1805,4,Residential,Load Bearing,AAC Blocks,Excavation,549,41.15,4115,10974,68.59,5,90250
1009,1,Residential,Load Bearing,Brick,Flooring,383,28.76,2876,7668,47.93,10,100900
3553,4,Residential,Load Bearing,Brick,Plastering,1350,101.26,10126,27003,168.77,20,426360
2529,3,Commercial,Steel Frame,Concrete Blocks,Flooring,1093,81.94,8194,21851,136.57,10,252900
4928,2,Commercial,Steel Frame,Brick,Excavation,2365,177.41,17741,47309,295.68,5,246400
2182,2,Industrial,Steel Frame,Concrete Blocks,Plastering,943,70.7,7070,18852,117.83,20,261840
4463,5,Commercial,RCC,AAC Blocks,Excavation,1428,107.11,10711,28563,178.52,5,223150
1199,1,Industrial,Steel Frame,Concrete Blocks,Plastering,518,38.85,3885,10359,64.75,20,143880
1152,4,Residential,Load Bearing,Brick,Excavation,438,32.83,3283,8755,54.72,5,57600
2220,5,Industrial,Steel Frame,AAC Blocks,Plastering,852,63.94,6394,17050,106.56,20,266400
2453,4,Residential,Steel Frame,Brick,Framing,1177,88.31,8831,23549,147.18,30,981200
4573,2,Residential,Load Bearing,Concrete Blocks,Excavation,1564,117.3,11730,31279,195.5,5,228650
2795,5,Residential,RCC,AAC Blocks,Framing,894,67.08,6708,17888,111.8,30,1118000
4473,2,Industrial,Load Bearing,Brick,Foundation,1700,127.48,12748,33995,212.47,15,670950
2909,5,Commercial,Steel Frame,Brick,Framing,1396,104.72,10472,27926,174.54,30,1163600
3760,4,Industrial,Steel Frame,Concrete Blocks,Excavation,1624,121.82,12182,32486,203.04,5,188000
1845,3,Residential,Load Bearing,AAC Blocks,Foundation,561,42.07,4207,11218,70.11,15,276750
4126,5,Residential,Load Bearing,AAC Blocks,Flooring,1254,94.07,9407,25086,156.79,10,412600
4877,5,Industrial,RCC,AAC Blocks,Flooring,1561,117.05,11705,31213,195.08,10,487700
794,3,Commercial,RCC,Concrete Blocks,Excavation,286,21.44,2144,5717,35.73,5,39700
856,1,Residential,Steel Frame,Brick,Excavation,411,30.82,3082,8218,51.36,5,42800
2551,5,Industrial,Steel Frame,Concrete Blocks,Excavation,1102,82.65,8265,22041,137.75,5,127550
1582,3,Residential,Load Bearing,AAC Blocks,Plastering,481,36.07,3607,9619,60.12,20,189840
1181,1,Residential,RCC,Brick,Framing,472,35.43,3543,9448,59.05,30,472400
3400,2,Residential,RCC,Concrete Blocks,Foundation,1224,91.8,9180,24480,153,15,510000
2453,4,Commercial,RCC,Brick,Framing,981,73.59,7359,19624,122.65,30,981200
2406,2,Commercial,Load Bearing,Brick,Flooring,914,68.57,6857,18286,114.29,10,240600
1925,5,Commercial,Steel Frame,AAC Blocks,Foundation,739,55.44,5544,14784,92.4,15,288750
1451,3,Residential,Load Bearing,AAC Blocks,Flooring,441,33.08,3308,8822,55.14,10,145100
2482,2,Industrial,RCC,AAC Blocks,Flooring,794,59.57,5957,15885,99.28,10,248200
2626,4,Residential,Load Bearing,Brick,Excavation,998,74.84,7484,19958,124.73,5,131300
4483,5,Residential,RCC,Brick,Plastering,1793,134.49,13449,35864,224.15,20,537960
2033,3,Residential,Steel Frame,Brick,Flooring,976,73.19,7319,19517,121.98,10,203300
3009,3,Residential,RCC,Brick,Excavation,1204,90.27,9027,24072,150.45,5,150450
4409,4,Commercial,RCC,Concrete Blocks,Framing,1587,119.04,11904,31745,198.41,30,1763600
1544,2,Residential,RCC,Concrete Blocks,Framing,556,41.69,4169,11117,69.48,30,617600
3729,2,Residential,Steel Frame,Concrete Blocks,Plastering,1611,120.82,12082,32219,201.37,20,447480
2763,4,Residential,Load Bearing,AAC Blocks,Excavation,840,63,6300,16799,104.99,5,138150
4901,3,Commercial,RCC,AAC Blocks,Framing,1568,117.62,11762,31366,196.04,30,1960400
4622,1,Residential,RCC,Brick,Foundation,1849,138.66,13866,36976,231.1,15,693300
2881,1,Residential,Steel Frame,AAC Blocks,Plastering,1106,82.97,8297,22126,138.29,20,345720
2309,5,Industrial,RCC,Brick,Foundation,924,69.27,6927,18472,115.45,15,346350
3660,2,Commercial,RCC,AAC Blocks,Foundation,1171,87.84,8784,23424,146.4,15,549000
2908,3,Commercial,Steel Frame,AAC Blocks,Foundation,1117,83.75,8375,22333,139.58,15,436200
2264,2,Commercial,Load Bearing,Concrete Blocks,Excavation,774,58.07,5807,15486,96.79,5,113200
1914,1,Industrial,Load Bearing,Brick,Excavation,727,54.55,5455,14546,90.91,5,95700
3166,1,Industrial,RCC,AAC Blocks,Excavation,1013,75.98,7598,20262,126.64,5,158300
4509,5,Industrial,Steel Frame,AAC Blocks,Framing,1731,129.86,12986,34629,216.43,30,1803600
1046,4,Commercial,RCC,AAC Blocks,Foundation,335,25.1,2510,6694,41.84,15,156900
3900,4,Commercial,Load Bearing,AAC Blocks,Plastering,1186,88.92,8892,23712,148.2,20,468000
3954,5,Residential,Load Bearing,AAC Blocks,Flooring,1202,90.15,9015,24040,150.25,10,395400
994,2,Industrial,Load Bearing,Concrete Blocks,Excavation,340,25.5,2550,6799,42.49,5,49700
1070,2,Commercial,Steel Frame,AAC Blocks,Foundation,411,30.82,3082,8218,51.36,15,160500
1278,4,Commercial,Steel Frame,Concrete Blocks,Flooring,552,41.41,4141,11042,69.01,10,127800
3513,3,Commercial,RCC,Brick,Framing,1405,105.39,10539,28104,175.65,30,1405200
2107,2,Residential,Steel Frame,Brick,Excavation,1011,75.85,7585,20227,126.42,5,105350
3829,3,Residential,RCC,Concrete Blocks,Plastering,1378,103.38,10338,27569,172.31,20,459480
4802,2,Industrial,Load Bearing,Concrete Blocks,Framing,1642,123.17,12317,32846,205.29,30,1920800
1996,4,Commercial,Steel Frame,AAC Blocks,Plastering,766,57.48,5748,15329,95.81,20,239520
1443,3,Industrial,Steel Frame,Brick,Plastering,693,51.95,5195,13853,86.58,20,173160
1152,4,Industrial,Steel Frame,Concrete Blocks,Foundation,498,37.32,3732,9953,62.21,15,172800
544,3,Residential,Load Bearing,Concrete Blocks,Flooring,186,13.95,1395,3721,23.26,10,54400
3083,2,Commercial,Steel Frame,AAC Blocks,Flooring,1184,88.79,8879,23677,147.98,10,308300
4550,4,Residential,Steel Frame,AAC Blocks,Excavation,1747,131.04,13104,34944,218.4,5,227500
2521,2,Residential,Steel Frame,Brick,Plastering,1210,90.76,9076,24202,151.26,20,302520
2486,1,Industrial,Load Bearing,AAC Blocks,Plastering,756,56.68,5668,15115,94.47,20,298320
4879,3,Residential,Steel Frame,AAC Blocks,Foundation,1874,140.52,14052,37471,234.19,15,731850
3817,5,Commercial,RCC,AAC Blocks,Excavation,1221,91.61,9161,24429,152.68,5,190850
2763,3,Industrial,Load Bearing,Concrete Blocks,Plastering,945,70.87,7087,18899,118.12,20,331560
514,4,Industrial,Steel Frame,AAC Blocks,Excavation,197,14.8,1480,3948,24.67,5,25700
3884,3,Industrial,Steel Frame,Concrete Blocks,Excavation,1678,125.84,12584,33558,209.74,5,194200
1921,1,Residential,Steel Frame,Brick,Framing,922,69.16,6916,18442,115.26,30,768400
3881,3,Industrial,Steel Frame,Concrete Blocks,Flooring,1677,125.74,12574,33532,209.57,10,388100
4234,1,Industrial,Load Bearing,AAC Blocks,Flooring,1287,96.54,9654,25743,160.89,10,423400
4877,5,Commercial,Steel Frame,AAC Blocks,Framing,1873,140.46,14046,37455,234.1,30,1950800
1036,3,Residential,Steel Frame,Concrete Blocks,Plastering,448,33.57,3357,8951,55.94,20,124320
3305,1,Commercial,Steel Frame,AAC Blocks,Excavation,1269,95.18,9518,25382,158.64,5,165250
3148,3,Residential,RCC,Concrete Blocks,Framing,1133,85,8500,22666,141.66,30,1259200
847,3,Residential,Load Bearing,Brick,Flooring,322,24.14,2414,6437,40.23,10,84700
1226,5,Residential,Load Bearing,AAC Blocks,Framing,373,27.95,2795,7454,46.59,30,490400
4053,5,Industrial,RCC,Concrete Blocks,Framing,1459,109.43,10943,29182,182.39,30,1621200
2131,5,Residential,Load Bearing,Concrete Blocks,Flooring,729,54.66,5466,14576,91.1,10,213100
1749,5,Commercial,Steel Frame,Concrete Blocks,Foundation,756,56.67,5667,15111,94.45,15,262350
2198,5,Residential,Steel Frame,Brick,Plastering,1055,79.13,7913,21101,131.88,20,263760
2468,3,Industrial,Load Bearing,Concrete Blocks,Framing,844,63.3,6330,16881,105.51,30,987200
2508,1,Commercial,Steel Frame,Brick,Plastering,1204,90.29,9029,24077,150.48,20,300960
633,5,Residential,Load Bearing,Concrete Blocks,Plastering,216,16.24,1624,4330,27.06,20,75960
2040,3,Commercial,Steel Frame,AAC Blocks,Flooring,783,58.75,5875,15667,97.92,10,204000
4123,2,Residential,Steel Frame,Concrete Blocks,Plastering,1781,133.59,13359,35623,222.64,20,494760
1764,5,Commercial,Load Bearing,Concrete Blocks,Excavation,603,45.25,4525,12066,75.41,5,88200
1524,3,Industrial,Steel Frame,AAC Blocks,Plastering,585,43.89,4389,11704,73.15,20,182880
4441,2,Residential,RCC,Concrete Blocks,Excavation,1599,119.91,11991,31975,199.85,5,222050
1097,1,Industrial,Steel Frame,AAC Blocks,Excavation,421,31.59,3159,8425,52.66,5,54850
3491,2,Industrial,RCC,Concrete Blocks,Framing,1257,94.26,9426,25135,157.1,30,1396400
1299,5,Residential,RCC,Concrete Blocks,Foundation,468,35.07,3507,9353,58.46,15,194850
1346,3,Commercial,Load Bearing,AAC Blocks,Foundation,409,30.69,3069,8184,51.15,15,201900
1572,1,Residential,Steel Frame,Brick,Framing,755,56.59,5659,15091,94.32,30,628800
1986,2,Commercial,Load Bearing,AAC Blocks,Excavation,604,45.28,4528,12075,75.47,5,99300
1897,4,Residential,Steel Frame,Concrete Blocks,Framing,820,61.46,6146,16390,102.44,30,758800
1065,2,Industrial,RCC,AAC Blocks,Foundation,341,25.56,2556,6816,42.6,15,159750
2143,4,Residential,RCC,AAC Blocks,Foundation,686,51.43,5143,13715,85.72,15,321450
3684,2,Commercial,RCC,Brick,Excavation,1474,110.52,11052,29472,184.2,5,184200
4042,3,Industrial,Steel Frame,AAC Blocks,Plastering,1552,116.41,11641,31043,194.02,20,485040
4143,2,Residential,RCC,Concrete Blocks,Excavation,1491,111.86,11186,29830,186.44,5,207150
2952,2,Residential,RCC,Brick,Plastering,1181,88.56,8856,23616,147.6,20,354240
4497,1,Commercial,Load Bearing,Concrete Blocks,Flooring,1538,115.35,11535,30759,192.25,10,449700
2952,5,Residential,Load Bearing,AAC Blocks,Framing,897,67.31,6731,17948,112.18,30,1180800
