ProjectType,ProjectSize_sqm,Location,Complexity,NumFloors,StartDate,EndDate,ConstructionCost,MaterialCost,LaborCost,EquipmentCost,PermitCost,ContingencyCost,OverheadCost,NumWorkers,WeatherConditions,PrevProjectCompletionTime,PrevProjectCost,ConstructionLevel
Commercial,3243,Suburban,2,7,11-12-2019 10:09,25-06-2020 10:09,5298700.385,3029526.791,1212983.017,655870.5322,227455.2803,477616.4957,690863.5463,259,Clear,195,7383172.345,Small
Residential,3992,Suburban,5,30,09-06-2022 11:54,07-05-2023 11:54,3762874.833,791722.749,875404.4847,451528.0142,40526.89194,120730.8711,497018.328,298,Snow,315,86816284.28,Small
Infrastructure,8628,Rural,2,13,29-04-2017 16:31,19-09-2018 16:31,3719989.978,1128685.631,675658.9516,540813.2627,79525.62844,237846.8796,472803.9609,152,Snow,651,27504970.9,Medium
Educational,5449,Suburban,4,25,16-04-2019 05:35,19-04-2020 05:35,6571886.443,1365420.528,2288935.148,406148.7825,58260.53048,428041.6963,1177511.679,272,Snow,447,98737835.95,Medium
Residential,16004,Urban,2,15,26-01-2024 21:44,09-06-2026 21:44,19123817.99,10331322.75,3381134.772,1484936.412,684972.1033,1191486.203,3071345.978,275,Storm,584,65140215.36,Large
Industrial,8553,Suburban,3,35,18-02-2020 20:41,07-08-2021 20:41,10700643.52,5302328.232,3267517.719,1262728.217,194170.9166,748082.7744,1876364.071,140,Clear,712,19362241.34,Medium
Commercial,11819,Urban,3,32,06-11-2015 06:01,02-10-2017 06:01,15049930.74,5903710.085,5146859.239,2078791.875,293215.0328,1396526.201,1975904.661,83,Windy,746,4586319.146,Large
Commercial,13953,Urban,4,45,20-02-2023 18:13,23-05-2025 18:13,21362631.14,7771623.62,6605670.607,1616315.63,591685.1869,1697113.8,3009339.904,146,Clear,447,78704273.18,Large
Educational,8380,Suburban,2,18,19-07-2016 01:47,05-12-2017 01:47,10213423.48,5453400.223,2227298.863,921058.9256,365207.9719,323363.0662,907222.6663,284,Windy,331,25077264.44,Medium
Residential,4807,Urban,2,37,23-09-2021 03:47,25-08-2022 03:47,4636146.928,1496656.017,790774.724,459454.1199,84632.73208,371193.3604,425341.2385,166,Snow,730,44190726.83,Small
Industrial,9187,Urban,4,20,30-06-2023 23:51,20-12-2024 23:51,22403616.87,11996803,6650421.184,1515847.497,382436.5076,910637.2099,2590204.87,288,Rain,307,42091943.81,Medium
Infrastructure,5230,Urban,3,7,29-05-2017 07:09,05-04-2018 07:09,8676725.628,3176070.578,2195300.359,565278.3225,252522.6177,354060.5305,773248.2964,153,Windy,200,17657361.26,Medium
Commercial,8772,Rural,2,27,05-06-2022 06:42,12-11-2023 06:42,13378553.75,3864544.04,4391948.656,1528641.236,542816.5216,1071842.939,1041135.135,260,Storm,596,91045909.84,Medium
Commercial,11757,Suburban,2,50,03-04-2022 16:07,18-02-2024 16:07,26522718.6,11391537.45,4769937.432,2831795.175,269143.4509,1812378.545,4606448.694,201,Snow,637,54524753.87,Large
Commercial,18167,Rural,2,44,15-03-2017 01:44,26-10-2019 01:44,11314199.11,3564030.408,3418760.076,1527363.047,391504.055,968457.9074,1391502.53,81,Snow,182,73907273.77,Large
Educational,5912,Rural,1,45,18-03-2015 20:42,06-02-2016 20:42,12810138,4211922.393,2937120.976,706890.9614,626671.5095,402895.9604,1063822.155,168,Windy,105,57882429.2,Medium
Industrial,19148,Urban,4,48,30-10-2016 14:27,24-09-2019 14:27,33245270.96,13018334.54,13255180.94,2631458.817,177597.8981,3011551.108,5083804.921,229,Snow,457,84708345.02,Large
Industrial,10225,Suburban,4,2,09-03-2016 08:51,07-11-2017 08:51,25105458.38,14152963.55,9086854.734,2352543.309,1176850.107,1933604.315,2780997.658,286,Foggy,632,76821150.32,Large
Industrial,4252,Rural,5,36,20-04-2022 00:53,09-04-2023 00:53,5093244.417,1861894.838,983149.957,403786.0563,40111.49406,453086.5696,398837.8015,230,Rain,442,60445807.72,Small
Educational,15006,Urban,5,5,21-01-2022 05:19,22-04-2024 05:19,9889063.215,4636744.34,3050847.519,922375.5072,395552.0657,690285.7177,499673.1813,12,Storm,153,88874977.67,Large
Educational,8186,Suburban,2,49,25-07-2020 15:55,01-01-2022 15:55,18184302.25,6402239.831,3254571.165,1802144.656,596085.5142,1116340.132,1163627.852,56,Clear,803,6600294.338,Medium
Commercial,9389,Suburban,2,18,24-12-2019 06:51,26-05-2021 06:51,5065927.292,2671783.045,1557716.491,318272.3889,136248.6012,428088.1228,801966.678,189,Storm,316,7908027.466,Medium
Infrastructure,4371,Suburban,5,16,13-02-2018 11:39,03-01-2019 11:39,8804616.827,3128114.093,1533026.938,490010.532,91035.82513,716669.7222,934716.5862,182,Snow,183,45030503.82,Small
Residential,6913,Rural,5,6,17-03-2015 15:11,31-07-2016 15:11,14314616.63,4688405.015,3843061.241,1125056.756,534896.623,1389302.041,1557458.201,61,Storm,588,88819504.19,Medium
Industrial,14653,Suburban,3,29,30-09-2017 23:39,19-12-2019 23:39,12263191.61,6940326.676,4075487.414,1214733.224,612807.6366,1156136.936,2054093.622,213,Clear,310,41452121.95,Large
Residential,11705,Suburban,3,3,29-09-2024 01:16,03-06-2026 01:16,8789352.686,3461729.899,1363157.766,1202329.907,310222.3119,772124.8002,1667842.448,289,Clear,219,14756118.89,Large
Infrastructure,3031,Urban,2,33,16-10-2018 07:52,19-05-2019 07:52,5083525.593,2670304.336,1507354.287,638393.9704,220821.3743,176801.2954,882690.7939,290,Clear,354,38720752.09,Small
Commercial,15523,Urban,3,50,22-01-2020 18:24,28-06-2022 18:24,15646501,9322304.863,3546582.609,1701833.762,662279.871,757003.3296,1843707.262,142,Storm,632,8016284.59,Large
Commercial,11709,Suburban,3,23,08-07-2017 11:07,12-03-2019 11:07,22133969.52,6244299.557,4035656.603,1902922.576,143553.5408,744321.1698,1746649.369,298,Foggy,53,91168439.49,Large
Educational,15365,Urban,5,23,30-05-2020 14:24,01-09-2022 14:24,29227073.14,11337235.63,8025933.974,2937601.897,1310086.532,1130191.985,1869948.287,114,Snow,183,42660195.82,Large
Commercial,10386,Rural,2,42,19-01-2016 20:31,25-10-2017 20:31,14956843.96,5574485.083,5862329.17,1779529.011,697455.7158,584301.7252,2395515.93,37,Snow,923,64726595.01,Large
Commercial,6340,Suburban,2,17,16-01-2020 14:51,21-04-2021 14:51,5263295.18,1140086.115,1424850.256,510201.5888,149082.7401,180424.3911,467602.6593,224,Clear,825,19483817.33,Medium
Commercial,3077,Urban,3,17,27-06-2017 05:39,18-04-2018 05:39,1987895.3,1038241.623,546609.6821,261861.4151,23591.91423,104298.5887,369653.1994,236,Snow,823,95528545.43,Small
Residential,14177,Suburban,1,41,14-06-2015 07:12,05-06-2017 07:12,8584056.955,2161169.466,1650867.269,751027.7614,275768.3006,356300.8788,972004.7969,114,Clear,311,30255005.79,Large
Educational,12994,Suburban,3,47,13-05-2019 10:42,22-05-2021 10:42,7028179.992,2207802.276,1370505.551,582967.2126,55109.3185,699593.9355,1002627.184,127,Windy,203,33893777.86,Large
Commercial,14591,Suburban,1,21,07-02-2022 15:46,17-05-2024 15:46,11250427.85,3134252.925,4375102.494,1014007.796,523170.3784,871540.7561,1736269.442,122,Snow,767,96936442.72,Large
Commercial,13984,Rural,5,19,31-01-2017 17:41,07-04-2019 17:41,16534870.61,5378800.79,6140067.889,2372240.735,373750.3666,1365115.787,1761228.393,290,Windy,164,23971046.47,Large
Industrial,2902,Rural,5,5,09-09-2022 01:38,30-05-2023 01:38,7136067.359,4138734.222,1511326.727,832300.7708,292723.1888,363172.4405,788697.6794,203,Windy,465,30404494.01,Small
Residential,5837,Rural,5,39,02-01-2019 19:55,11-02-2020 19:55,13242041.82,7710859.863,3044415.113,1649708.753,317495.2794,976877.932,957959.3185,103,Clear,203,89427764.49,Medium
Residential,11226,Rural,1,47,15-10-2017 21:25,29-07-2019 21:25,24539371.76,13416789.95,5020904.964,2344405.92,1104318.881,1635209.613,2741832.851,235,Windy,747,2327104.017,Large
Residential,5912,Rural,1,49,17-05-2018 11:55,25-03-2019 11:55,11156262.14,5553350.428,2282524.541,1575699.655,390714.8921,1095217.179,2160507.494,276,Foggy,369,60442156.58,Medium
Residential,2046,Urban,4,29,07-05-2021 16:59,23-12-2021 16:59,2993521.94,1193173.771,547309.6213,423484.7512,29395.44726,95841.65829,155085.8623,277,Foggy,877,96750800.58,Small
Industrial,13252,Rural,5,6,22-04-2015 05:16,15-07-2017 05:16,15106926.49,4278452.653,5722747.856,1430456.66,438159.5775,854434.886,1344216.707,102,Storm,859,75544300.31,Large
Commercial,14107,Urban,4,7,12-06-2024 11:15,08-10-2026 11:15,13639890.09,6828215.934,3434774.246,1090572.828,533453.4524,516260.9236,1470390.607,68,Rain,471,3644152.103,Large
Industrial,17137,Urban,5,17,25-05-2015 00:25,20-11-2017 00:25,16401262.54,5741236.939,6016631.76,1464544.266,179023.7886,1086675.724,2944296.369,40,Storm,209,25953129.94,Large
Residential,15774,Rural,2,11,14-11-2017 19:19,03-04-2020 19:19,15493438.87,6136429.797,4402701.813,1986656.457,711956.8566,841790.5918,2771739.718,290,Snow,422,35195656.49,Large
Infrastructure,17851,Suburban,3,6,04-10-2023 22:06,23-05-2026 22:06,29157580.83,7087370.445,7903772.769,3214482.903,569558.1169,1697036.921,1825700.345,77,Rain,323,89442292.13,Large
Residential,9831,Rural,3,5,19-01-2022 07:08,07-08-2023 07:08,10740379.89,2415061.867,2147893.866,731309.4248,514623.0105,538204.9214,1588096.094,277,Clear,52,95852047.57,Medium
Commercial,10838,Suburban,1,1,20-10-2015 10:45,27-07-2017 10:45,4652583.012,2447417.781,861382.6754,696837.6752,116600.0548,261174.9694,628133.5822,257,Foggy,790,58453975.79,Large
Industrial,19117,Rural,4,28,17-01-2016 00:52,28-11-2018 00:52,33373243.53,9182182.579,9600811.979,4786777.781,754659.6403,2749548.625,2215187.901,43,Snow,221,84192836,Large
Educational,10403,Rural,1,29,11-08-2022 08:32,29-01-2024 08:32,20022548.26,5573018.068,6077292.817,1573418.202,324554.6801,1041448.092,2258750.01,95,Windy,92,44565300.48,Large
Infrastructure,10189,Urban,2,32,04-06-2024 05:12,25-01-2026 05:12,6508531.617,3351316.132,2405653.708,524997.6137,64078.67593,429130.1801,675211.7598,64,Windy,451,30189064.08,Large
Educational,12006,Urban,4,22,22-04-2016 07:41,08-04-2018 07:41,17165738.13,8401042.171,6024817.336,2081581.399,644129.4071,1512693.092,916762.1987,136,Windy,357,67901857.29,Large
Commercial,2158,Suburban,3,19,02-11-2015 16:26,03-04-2016 16:26,1794536.922,928001.3529,687190.6933,115458.3802,68145.33239,61601.42826,249333.4077,35,Rain,287,42768058.82,Small
Commercial,17790,Urban,2,41,22-06-2021 22:20,26-01-2024 22:20,12615541.42,7089771.225,4435076.005,1058575.955,218430.7914,448714.4367,1723425.66,98,Foggy,548,47388312.24,Large
Commercial,16983,Suburban,3,28,11-05-2018 05:16,31-10-2020 05:16,40815650.7,8254695.868,6647555.521,3017265.242,1740316.365,2508670.456,5854569.055,260,Windy,126,51302841.66,Large
Infrastructure,18765,Rural,3,29,11-12-2019 19:17,30-08-2022 19:17,38348283.81,18615760.65,12074085.12,3123556.736,316674.002,3577812.943,4233402.997,227,Windy,376,3742850.121,Large
Infrastructure,9817,Suburban,2,11,05-11-2024 16:28,15-06-2026 16:28,8578555.565,4627343.31,2336952.59,436375.5482,206779.0472,828194.7747,593752.898,231,Rain,935,43996444.94,Medium
Residential,18735,Rural,4,48,04-10-2023 07:03,28-07-2026 07:03,14763764.38,3769211.15,3696805.856,783812.433,102972.2154,766149.0175,1479749.89,126,Foggy,421,95578603.94,Large
Industrial,18102,Rural,2,2,23-09-2017 10:04,09-07-2020 10:04,43489802.43,15095381.12,14172268.98,5844255.878,1437115.127,1401584.26,7664761.556,181,Windy,957,23413818.29,Large
Infrastructure,11528,Suburban,2,35,21-12-2016 21:22,17-09-2018 21:22,25942480.5,11046906.27,6150781.584,2857970.59,674920.0283,1647398.331,1337150.968,142,Storm,184,37537397.93,Large
Educational,19240,Suburban,4,7,02-12-2022 14:02,23-10-2025 14:02,38599338.93,7831894.669,5835299.052,3764927.92,1790450.487,2639150.604,3157318.548,244,Snow,175,58875212.54,Large
Commercial,19537,Urban,3,45,26-01-2024 14:58,26-01-2027 14:58,10722202.29,4746168.509,1700457.437,1343229.174,458018.5058,800249.2155,998688.6718,112,Snow,676,71912939.29,Large
Commercial,16723,Suburban,3,34,16-08-2018 20:24,27-01-2021 20:24,37748079.62,18751441.76,12083752.06,3631351.668,481406.5936,2683759.419,3761666.615,147,Snow,161,41951443.96,Large
Infrastructure,16455,Rural,1,12,12-08-2017 09:02,07-01-2020 09:02,40729765.01,22260994.12,14493225.07,2070229.616,1300741.713,2088316.155,7274937.591,197,Clear,493,5491145.32,Large
Infrastructure,12635,Rural,4,15,22-03-2020 22:03,23-03-2022 22:03,18767713.73,5261005.335,5827694.843,2423583.687,682569.4809,783094.0066,1700544.59,286,Snow,722,88384458.81,Large
Infrastructure,9145,Rural,1,39,24-01-2021 14:02,03-05-2022 14:02,10623500.19,5952122.7,4013168.357,648773.0145,530233.4695,733560.4752,744736.9832,99,Storm,157,70837571.95,Medium
Infrastructure,8073,Urban,4,17,30-08-2017 01:00,29-12-2018 01:00,15968580.52,7645701.205,4630525.156,1371890.166,411360.1107,1132358.982,2083774,149,Foggy,507,96033390.11,Medium
Residential,1198,Urban,1,50,01-10-2016 10:43,06-03-2017 10:43,725858.5792,287124.4222,233617.6999,45267.22001,26733.6438,53751.02211,56645.59047,287,Snow,865,84250973.72,Small
Commercial,19834,Suburban,3,12,07-01-2024 22:39,31-01-2027 22:39,32085110.55,13739233.47,9387779.4,1798794.023,1486893.68,2020239.481,3154806.57,40,Snow,810,27170960.36,Large
Educational,10460,Suburban,2,17,02-09-2024 00:10,04-05-2026 00:10,8778122.019,3635801.129,3009455.058,1015005.857,319531.4149,490734.3529,1206068.763,128,Windy,344,26159430.35,Large
Infrastructure,19590,Rural,2,1,20-12-2024 17:39,13-01-2028 17:39,26738690.39,10426609.34,5913209.988,3150132.537,737179.8616,1059340.981,2356246.688,216,Clear,755,90299894.94,Large
Educational,12086,Urban,2,7,24-02-2021 11:12,26-01-2023 11:12,7803505.451,4635903.177,1415805.839,745187.1365,115414.6917,305906.705,462807.2852,216,Rain,907,24979434.58,Large
Infrastructure,17971,Urban,4,20,02-12-2019 19:38,02-09-2022 19:38,12904512.63,7114402.412,4112587.071,1023040.558,518676.3477,1253352.206,2035674.468,67,Clear,269,13920515.98,Large
Educational,7974,Urban,4,15,08-05-2015 00:39,12-09-2016 00:39,4071517.455,1851750.661,1579877.452,351915.4677,126016.7218,320767.0094,728262.6033,162,Windy,353,44383044.16,Medium
Infrastructure,18997,Suburban,4,46,23-06-2016 14:55,23-06-2019 14:55,9554677.139,4876696.797,2573249.686,1401612.009,247727.153,932775.6014,1746034.946,155,Clear,729,79358166.17,Large
Commercial,1985,Rural,4,50,23-07-2022 22:43,24-03-2023 22:43,2617433.002,1476853.261,451687.229,136461.7351,102533.0181,98341.51122,190370.2962,257,Foggy,469,41609195.18,Small
Commercial,6403,Suburban,4,20,20-01-2018 12:52,23-03-2019 12:52,10639528.65,3335214.45,1923461.692,1516625.556,321009.2544,427654.7916,1171085.051,121,Snow,703,32083110.21,Medium
Commercial,9282,Rural,5,49,21-10-2017 19:29,08-05-2019 19:29,5036662.358,1286609.38,932561.9425,294383.9705,247346.2509,174308.7056,317913.7285,182,Storm,494,3191319.297,Medium
Residential,6008,Suburban,1,43,16-02-2023 21:16,12-03-2024 21:16,8195370.036,1994139.02,2472954.755,572182.3202,391516.6328,324676.6212,773234.8938,68,Snow,871,32673793.78,Medium
Infrastructure,18695,Rural,2,44,24-12-2017 20:04,29-11-2020 20:04,11780001.65,5204129.057,3922874.99,1444996.476,121450.6036,1109616.009,1674454.623,147,Snow,873,742056.8749,Large
Industrial,5834,Suburban,3,44,21-05-2015 23:51,11-07-2016 23:51,9211121.085,4303455.863,3015113.122,913522.9365,139318.8476,449609.5559,1078958.777,128,Snow,788,78554750.24,Medium
Infrastructure,2346,Suburban,1,41,29-07-2021 05:35,25-02-2022 05:35,4345985.729,1072520.219,1586842.58,581041.4208,163653.4879,292572.0316,604503.8216,151,Rain,897,18969435.2,Small
Industrial,725,Rural,4,49,29-08-2016 12:37,12-01-2017 12:37,1479605.259,583883.4177,246060.2927,218426.5961,21599.49485,59969.31896,169896.4878,294,Snow,301,36533651.6,Small
Educational,19967,Rural,2,24,23-07-2022 07:15,21-08-2025 07:15,43836951.63,19218967.11,11589781.3,5250820.833,1489439.564,4141380.614,6728644.188,224,Clear,610,28140869.93,Large
Commercial,1988,Suburban,2,10,08-07-2020 23:14,17-01-2021 23:14,2156379.336,995068.222,324352.9184,287726.6638,50833.51999,127917.4767,239999.5054,185,Clear,644,79737597.6,Small
Infrastructure,12458,Rural,4,44,22-07-2016 22:09,08-09-2018 22:09,27919176.77,9672023.768,6809047.441,3588727.529,380769.3206,1792556.58,4363825.164,46,Clear,753,74676116.07,Large
Educational,9116,Suburban,4,39,23-12-2019 12:18,16-08-2021 12:18,13827898.52,4414472.998,2368401.78,1301567.313,151894.1246,1166003.875,1576481.01,169,Storm,791,89848474.46,Medium
Educational,8843,Suburban,3,7,18-12-2023 03:58,04-06-2025 03:58,12816593.53,6938033.131,4046390.177,1464888.342,268841.4469,603682.6828,2264641.235,61,Windy,608,3949052.462,Medium
Commercial,10726,Urban,4,42,25-12-2022 06:50,08-09-2024 06:50,25133381.34,10886552.62,7791313.196,3316710.969,652480.9396,1007202.021,2840990.33,129,Snow,506,52059428.76,Large
Infrastructure,10481,Urban,4,33,15-06-2024 18:13,08-02-2026 18:13,10813364.79,5200985.25,3723486.111,884652.3102,483690.0474,660617.7857,1652787.657,60,Windy,426,47448718.41,Large
Industrial,17399,Rural,2,38,08-12-2015 08:06,23-06-2018 08:06,34370947.92,10046872.61,8974391.671,3029900.879,339527.7157,3136675.026,2087599.58,298,Storm,269,25668187.14,Large
Educational,9498,Suburban,1,18,29-11-2018 08:03,18-05-2020 08:03,15741971.47,4669483.592,5668465.62,1939205.047,701734.6019,1293484.848,1749813.996,23,Windy,715,77828111.54,Medium
Educational,15476,Rural,4,11,28-03-2023 11:15,07-09-2025 11:15,28055278.76,12794723.36,9602195.955,2998580.974,385789.3112,2746040.888,4039121.597,107,Clear,522,38491602.13,Large
Commercial,10502,Urban,3,50,11-09-2015 05:32,29-05-2017 05:32,13425526.94,5853275.557,3246544.975,2002536.226,572612.608,1259770.111,1901645.57,255,Foggy,828,71847104.77,Large
Educational,19465,Rural,5,25,16-01-2017 12:39,14-02-2020 12:39,11802822.64,6616614.68,3810311.717,598168.7622,438192.394,665293.8905,814447.8921,181,Foggy,838,24889783.35,Large
Industrial,10196,Urban,5,35,15-08-2021 15:30,27-04-2023 15:30,25164430.6,5866382.97,5166688.047,2711425.085,228457.6899,813532.3811,2103134.459,17,Rain,664,35383167.22,Large
Educational,2662,Urban,2,28,01-06-2022 04:21,12-01-2023 04:21,2112664.425,946821.4098,478293.6772,249420.8142,27553.4492,121522.7019,189408.6863,290,Foggy,609,87840147.37,Small
Infrastructure,18254,Suburban,5,41,23-07-2021 00:37,21-05-2024 00:37,39917969.84,11642337.15,11768501.3,3283244.169,756246.8209,3009746.566,7543872.398,158,Windy,340,44694128.71,Large
Industrial,18662,Rural,1,27,23-04-2020 05:02,11-02-2023 05:02,32767156.7,10093676.92,11362289.6,1703968.115,884701.7532,2841927.905,3578640.683,41,Rain,663,43966123.84,Large
Educational,10788,Urban,2,36,07-02-2019 00:54,31-10-2020 00:54,13327166.16,6996817.803,4174659.234,1086132.496,399731.7163,769802.3081,1195633.344,125,Windy,455,86586215.51,Large
Industrial,12135,Rural,4,13,09-01-2024 06:05,26-11-2025 06:05,9997726.878,2159710.749,1817137.466,1175365.143,455134.5306,337004.7833,983585.1091,130,Storm,619,98631778.31,Large
Residential,1544,Rural,4,23,06-01-2019 16:51,24-07-2019 16:51,1318565.851,510093.3481,341417.3589,157434.3171,56919.88463,121871.1743,92461.45402,241,Clear,948,85492706.55,Small
Educational,12465,Suburban,3,4,24-06-2022 07:15,09-06-2024 07:15,12325897.25,5564671.267,4144532.012,1042434.803,164582.3146,839349.3611,2405949.208,267,Snow,679,49675666.64,Large
Industrial,17520,Suburban,5,48,02-05-2015 22:33,10-02-2018 22:33,15183466.36,3154708.57,3606183.141,1738650.519,207860.2571,991233.8604,2349516.761,217,Clear,981,95502602.98,Large
Residential,8525,Rural,4,31,24-07-2017 10:32,01-02-2019 10:32,13861888.01,5138995.743,4112812.196,1382194.068,70608.59739,681756.3772,893349.7502,276,Snow,498,39530216.89,Medium
Residential,11428,Suburban,1,22,26-02-2021 13:24,10-12-2022 13:24,14452302.96,8217608.923,5166971.218,1332729.351,124034.5077,1428481.104,2570002.64,94,Snow,770,91414750,Large
Commercial,10410,Suburban,3,37,25-01-2020 20:42,20-11-2021 20:42,21925968.14,8570043.134,7110019.586,2193770.068,679749.2463,1335664.12,3594187.837,160,Snow,823,23326102.6,Large
Educational,7918,Urban,4,42,20-09-2015 05:14,19-02-2017 05:14,5881823.817,2643914.246,1564563.45,486917.0543,44698.18498,340332.8719,655650.1125,36,Foggy,614,9343200.472,Medium
Educational,4234,Urban,2,32,04-04-2021 05:03,13-01-2022 05:03,9144639.788,2092752.859,1659111.934,887938.4073,247574.8054,277123.9794,1688789.598,57,Rain,578,64447045.03,Small
Commercial,10840,Suburban,1,12,10-10-2020 02:33,26-05-2022 02:33,25633188.05,11555338.22,8166598.864,3286553.243,409493.8583,1984097.218,1543115.719,264,Foggy,485,62518847.6,Large
Residential,2414,Urban,3,19,09-03-2020 05:36,26-10-2020 05:36,3078075.266,1374356.487,1119817.061,430614.8986,114782.3327,265605.7054,193651.5426,260,Storm,520,55162634.77,Small
Commercial,13402,Suburban,4,16,26-09-2021 10:59,20-10-2023 10:59,19711120.79,8899064.519,7067320.829,2134628.917,615961.2654,1146535.799,1992619.077,297,Snow,267,20098548.12,Large
Infrastructure,1660,Rural,5,6,17-05-2015 10:14,08-10-2015 10:14,4147121.029,1506318.922,954291.9381,296120.7139,202921.2046,372052.635,359047.6124,36,Rain,136,26710085.56,Small
Residential,9324,Suburban,4,21,23-07-2017 20:15,10-02-2019 20:15,13161966.52,2743004.079,4729082.319,1533372.105,271247.7095,855906.3219,2569873.526,231,Clear,304,56484163.24,Medium
Residential,1704,Rural,1,42,10-09-2023 17:13,27-01-2024 17:13,1406452.758,375230.6355,457824.902,164412.0924,32658.48531,72051.7097,138825.8375,114,Clear,119,20664269.38,Small
Residential,2873,Suburban,5,31,29-11-2017 01:37,06-10-2018 01:37,2104559.336,625674.3248,836057.0901,184786.1247,97127.65223,106120.9128,215083.4042,235,Storm,721,17925298.33,Small
Educational,9521,Rural,3,43,23-07-2016 04:46,10-03-2018 04:46,6082530.254,2632504.854,2163507.911,721985.5844,72999.81257,540952.3048,1059390.497,24,Rain,349,43654434.41,Medium
Infrastructure,14505,Urban,4,47,31-07-2017 06:36,21-10-2019 06:36,7614112.786,3592962.049,1519630.371,771433.6462,124855.5866,433875.4154,1139780.416,45,Rain,453,54293353.43,Large
Commercial,15754,Suburban,1,1,14-11-2024 17:45,08-04-2027 17:45,16845445.15,7337343.176,5232362.253,1297019.857,209727.5297,1417773.111,2749981.131,272,Clear,733,91279307.38,Large
Commercial,12679,Urban,5,8,02-12-2017 01:30,25-10-2019 01:30,30723557.92,13183403.23,11913101.01,2724514.92,270732.4981,1209669.835,2554742.292,266,Snow,235,79328989.4,Large
Residential,17315,Urban,1,11,09-10-2021 04:54,12-07-2024 04:54,10708759.51,2857108.58,1980782.425,1439074.831,510969.0713,940043.1914,614902.1653,131,Snow,990,4248467.19,Large
Commercial,12663,Rural,4,35,19-07-2018 17:40,29-09-2020 17:40,6681793.543,2849177.045,1713799.267,939314.0262,132533.4656,342440.7481,1248227.016,173,Clear,876,60367603.39,Large
Industrial,14897,Urban,2,48,04-10-2018 03:11,31-01-2021 03:11,32843631.78,16868121.23,9107493.459,2460145.502,365950.0197,2000034.887,2468946.702,222,Foggy,919,42298997.59,Large
Commercial,12963,Suburban,3,20,26-04-2020 04:09,12-05-2022 04:09,27848974.69,11273671.99,7759071.421,2241608.521,360422.7988,1222164.79,4671280.788,239,Rain,423,92193354.01,Large
Infrastructure,10688,Rural,4,30,08-03-2019 15:45,21-11-2020 15:45,4437462.318,2634556.242,753978.1454,625964.4688,146608.5375,256309.8209,841940.378,27,Foggy,208,85672911.62,Large
Residential,2127,Suburban,1,25,19-10-2020 18:16,07-06-2021 18:16,3422794.702,1569969.167,992255.7152,383772.0824,71105.71649,340933.187,506767.4199,167,Windy,854,31123120.1,Small
Infrastructure,18649,Rural,2,5,22-04-2018 15:32,28-02-2021 15:32,7966790.508,2224458.786,2057934.919,1166336.523,324379.9819,575425.0149,684873.7006,180,Storm,888,71713362.16,Large
Residential,7446,Suburban,4,1,04-04-2018 13:38,08-08-2019 13:38,7981768.346,2014882.81,1613411.035,595693.5167,174399.0411,423889.1228,721936.5139,234,Foggy,365,37737978.2,Medium
Residential,10258,Suburban,3,4,18-08-2018 22:53,14-05-2020 22:53,13741558.57,4176308.657,3644586.293,1184652.845,103726.4085,893455.7849,1850058.83,235,Clear,800,96835441.81,Large
Residential,14805,Rural,3,14,09-07-2018 14:55,21-10-2020 14:55,10481251.54,5485130.829,3572029.428,868651.5554,221107.536,384749.7745,1852588.161,22,Snow,533,69042928.95,Large
Residential,18888,Rural,3,49,22-03-2019 11:33,13-01-2022 11:33,35809175.25,10259585.55,13226729.72,3611251.537,804063.3204,3565702.271,3770004.406,168,Windy,399,88155071.17,Large
Industrial,9544,Rural,1,45,26-04-2018 01:26,18-11-2019 01:26,16006556.88,4202228.9,6335312.562,2211300.851,278012.5885,542892.7781,1986684.364,173,Rain,784,24911924.36,Medium
Residential,12519,Suburban,4,12,24-11-2016 00:40,24-11-2018 00:40,9583305.475,2489102.377,3428085.396,1289683.546,241274.5973,643250.7252,932993.9257,291,Clear,93,7327894.64,Large
Educational,13135,Rural,4,3,09-11-2020 22:34,16-11-2022 22:34,26335487.24,12470954.28,10050557.23,2446275.111,1136621.576,1245807.364,5073418.302,236,Rain,55,69062357.2,Large
Commercial,11789,Urban,5,30,13-06-2019 21:10,10-06-2021 21:10,15579755.2,7125972.612,3564615.723,1368577.83,384194.1748,541752.5674,3112942.874,181,Windy,909,22527603.76,Large
Educational,1774,Suburban,4,7,04-02-2021 00:50,19-09-2021 00:50,782200.491,361412.2969,175100.4367,102465.809,4474.754875,74914.91535,94345.12717,96,Storm,615,10367590.66,Small
Infrastructure,6070,Suburban,4,10,10-04-2020 04:48,03-06-2021 04:48,6796803.097,1940319.348,2166576.799,924805.8038,292311.5637,298485.629,913041.1846,300,Snow,205,2699383.287,Medium
Industrial,2596,Urban,2,21,05-02-2021 07:46,17-10-2021 07:46,5368507.513,2931535.516,1443015.855,304412.6313,157541.8872,476298.057,952915.297,295,Foggy,899,50215699.82,Small
Commercial,12162,Urban,4,43,10-06-2024 14:03,29-05-2026 14:03,29801884.53,13599348.89,9113607.529,4001683.331,1124775.16,1950781.129,2222269.781,216,Clear,486,78137657.62,Large
Commercial,8886,Suburban,4,12,27-11-2016 05:39,06-06-2018 05:39,13215069.64,6083735.755,2657041.266,1402197.224,325064.137,780396.3976,2010072.536,210,Windy,370,57382550.23,Medium
Infrastructure,3434,Rural,5,42,20-10-2018 21:07,01-08-2019 21:07,4329662.316,1483722.341,813084.1491,355444.5131,160400.057,292377.4303,341348.2872,129,Snow,201,48264301.03,Small
